epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5689.36,1.43555,1.2567,1.35909,0.7424,0.66196,0.73377,0.41868,1.22602,1.57692,1.11721,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5864.74,1.43512,1.23967,1.35582,0.74197,0.66019,0.73754,0.42296,1.21992,1.82895,1.11183,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6039,1.41514,1.22056,1.34191,0.74473,0.66523,0.74012,0.42107,1.22467,1.53723,1.10973,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6214.24,1.41688,1.22085,1.34613,0.74828,0.66703,0.74309,0.42651,1.2178,1.52027,1.10682,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6387.51,1.41122,1.19221,1.33667,0.74238,0.66874,0.74401,0.42691,1.20908,1.55327,1.10028,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,6562.14,1.39934,1.19885,1.33257,0.75826,0.66538,0.74724,0.4294,1.20698,1.49158,1.1037,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,6735.64,1.39152,1.17518,1.32598,0.74512,0.66855,0.74892,0.43242,1.20717,1.61266,1.10081,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,6910.65,1.38664,1.16347,1.32321,0.75475,0.67379,0.75106,0.43512,1.20526,1.48795,1.1016,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,7084.63,1.38174,1.16771,1.3166,0.74932,0.68033,0.75149,0.43311,1.20383,1.42666,1.09954,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,7242.15,1.36909,1.0276,1.31777,0.74981,0.67418,0.74937,0.43306,1.21044,1.28532,1.10466,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,7397.21,1.34841,1.00523,1.30854,0.75746,0.66963,0.75036,0.43594,1.21037,1.2439,1.10624,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,7551.62,1.33533,0.96422,1.28914,0.75838,0.67436,0.75183,0.43619,1.20994,1.21882,1.10572,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,7705.41,1.3242,0.95818,1.28506,0.75973,0.67753,0.7529,0.43588,1.20634,1.24481,1.10284,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,7859.34,1.31203,0.93771,1.27637,0.73758,0.69373,0.75278,0.43742,1.21051,1.23932,1.10531,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,8013.35,1.29583,0.90993,1.25995,0.75086,0.69501,0.75609,0.43864,1.2063,1.20684,1.10264,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,8166.69,1.28597,0.90135,1.25818,0.77615,0.67753,0.75965,0.4385,1.21126,1.21056,1.10705,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,8320.94,1.27383,0.89016,1.2516,0.76332,0.68591,0.75947,0.43849,1.21076,1.18442,1.10929,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,8475.72,1.26297,0.87282,1.24958,0.77054,0.67955,0.75874,0.43881,1.21097,1.1753,1.11061,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,8630.13,1.26104,0.8608,1.2397,0.76962,0.67961,0.75777,0.43847,1.21219,1.17385,1.11063,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
